2020,Mvano,Cabangoh,1,0,1,0,0,0,2,521,15.45%
2020,Jagan,Mahadevan,Koipallil,0,0,1,0,0,0,1,532,13.66%
2020,Margreth,Joseph,Mirola,0,0,0,0,0,0,0,560,9.11%
2020,Terence,Teri,1,7,0,3,0,0,11,371,39.84%,Honourable,mention
2019,Aiman,Ally,Abdallah,0,0,0,0,0,0,0,573,7.74%
2019,Collins,Evans,0,0,0,0,0,0,0,573,7.74%
2019,Ahmed,Shaaban,Kayungilo,0,0,0,0,0,0,0,573,7.74%
2019,Terence,Teri,1,0,0,1,0,0,2,523,15.81%
2019,Mir,Baqirhassan,Virani,0,0,0,0,0,0,0,573,7.74%
2019,Yusuf,Yildirim,1,0,0,0,0,0,1,540,13.06%
2018,Mvano,Cabangoh,1,0,0,0,0,0,1,538,9.44%
2018,Ahmed,Shaaban,Kayungilo,0,0,0,0,0,0,0,565,4.89%
2018,Tumaini,Sakaza,0,0,0,0,0,0,0,565,4.89%
2017,Mvano,Cabangoh,1,0,0,1,0,0,2,567,7.82%
2017,Manu,Koipallil,3,0,0,0,0,0,3,559,9.12%
2016,Bilal,Ayoub,Mrisho,1,0,0,0,0,0,1,539,10.48%
2016,Awadhi,Miraji,Simba,2,0,0,0,0,0,2,515,14.48%
2015,Abdulrazaq,Yusuf,Abdallah,0,0,0,0,0,0,0,553,4.17%
2015,Bilal,Ayoub,Mrisho,0,0,0,0,0,0,0,553,4.17%
2015,Awadhi,Miraji,Simba,0,0,0,0,0,0,0,553,4.17%
2014,Mahmudu,Dadi,Bakili,0,0,0,1,0,0,1,507,9.48%
2014,Hashim,Jamhuri,Hashim,0,0,0,1,0,0,1,507,9.48%
2014,Mateso,Mohamedi,Lutengwe,0,0,0,0,0,0,0,544,2.86%
