2021,Jeremy,Michoma,0,0,0,0,0,0,0,533,13.92%
2021,Reagan,Momanyi,0,0,0,1,0,0,1,499,19.42%
2021,Joshua,Kinara,Onunda,0,0,0,0,0,0,0,533,13.92%
2021,Allan,Orina,0,0,0,1,0,0,1,499,19.42%
2021,Dev,Bijesh,Mansukhlal,Shah,0,0,0,0,0,0,0,533,13.92%
2021,John,Yoshi,0,0,0,0,0,0,0,533,13.92%
2020,Monicah,Njeri,Kimani,0,0,0,0,0,0,0,560,9.11%
2020,Abigael,Mukene,Kyalo,0,0,0,0,0,0,0,560,9.11%
2020,Paul,Mwangi,0,0,0,0,0,0,0,560,9.11%
2020,Lukundo,Okemba,Odhiambo,0,0,0,0,0,0,0,560,9.11%
2020,John,Yoshi,0,2,0,0,0,0,2,521,15.45%
2019,Keziah,Nyabengeya,Keya,0,0,0,0,0,0,0,573,7.74%
2019,Stephen,Obure,Nyabuto,0,0,0,0,0,0,0,573,7.74%
2017,Demetrius,Sarrin,Chisombe,0,0,0,0,0,0,0,604,1.79%
2017,Isha,Khapre,0,0,0,0,0,0,0,604,1.79%
2017,Brian,Kirui,0,0,0,1,0,0,1,582,5.37%
2017,Ben,Kyalo,0,0,0,2,0,0,2,567,7.82%
2017,Beracah,May,Nyang'Or,0,0,0,0,0,0,0,604,1.79%
2017,Charles,Onyango,Opiyo,3,0,0,0,2,0,5,547,11.07%
2016,Yash,Khapre,0,0,0,0,0,0,0,568,5.66%
2016,Cynthia,Migika,1,0,0,0,0,1,2,515,14.48%
2016,Victor,Momanyi,0,0,0,0,0,0,0,568,5.66%
2016,Kais,Mussa,0,0,0,0,0,0,0,568,5.66%
2016,Renyi,Qu,1,0,0,0,0,4,5,481,20.13%
2016,Stefan,Tesliuc,2,0,0,0,2,0,4,493,18.14%
