2020,Soe,Lin,Htet,1,0,0,0,0,0,1,532,13.66%
2020,Aung,Paing,Khant,0,0,0,0,0,0,0,560,9.11%
2020,Zwe,Myint,Mo,7,0,0,0,0,0,7,445,27.80%,Honourable,mention
2020,Hein,Thant,7,0,0,0,0,0,7,445,27.80%,Honourable,mention
2020,Yin,Min,Thant,0,0,0,0,0,0,0,560,9.11%
2020,Cho,Kyi,Thar,Thin,7,0,1,0,0,0,8,419,32.03%,Honourable,mention
2019,Xsu,Wai,Yan,Lin,0,1,0,0,0,0,1,540,13.06%
2019,Naing,Zaw,Lu,2,1,0,0,1,0,4,489,21.29%
2019,Kyaw,Shin,Thant,3,0,0,0,2,0,5,479,22.90%
2019,Kyaw,Nyi,Thar,0,0,0,0,0,0,0,573,7.74%
2019,Min,Khant,Thu,0,0,0,0,0,0,0,573,7.74%
2019,Chann,Myae,Zaw,1,0,0,0,0,0,1,540,13.06%
2018,Myat,Thu,Khaing,0,1,0,0,0,0,1,538,9.44%
2018,Sai,Sinn,Zom,Leng,0,0,0,0,0,0,0,565,4.89%
2018,Kyaw,Htet,Lin,7,1,0,2,0,0,10,368,38.11%,Honourable,mention
2018,Naing,Zaw,Lu,0,0,0,2,0,0,2,511,14.00%
2018,Wai,Yan,Moe,Lwin,7,0,0,0,1,0,8,413,30.52%,Honourable,mention
2018,Htet,Linn,Wai,0,0,0,2,0,0,2,511,14.00%
2017,Hein,Thant,Aung,2,0,0,7,0,0,9,471,23.45%,Honourable,mention
2017,Ye,Man,Aung,0,0,0,1,0,0,1,582,5.37%
2017,Kaung,Khant,Gyi,0,1,0,1,0,0,2,567,7.82%
2017,Wai,Yan,Moe,Lwin,0,0,0,0,0,0,0,604,1.79%
2017,Khin,Chew,Chew,Naing,0,1,0,1,0,0,2,567,7.82%
2017,Myat,Oo,Swe,0,0,0,1,0,0,1,582,5.37%
2016,Shine,Maw,Arnt,0,0,0,0,0,0,0,568,5.66%
2016,Nay,Naw,Oo,0,0,0,0,0,1,1,539,10.48%
2016,Nyan,Sint,0,0,0,0,0,0,0,568,5.66%
2016,Kaung,Htet,Thar,1,3,0,1,0,1,6,469,22.13%
2016,Min,Myat,Tun,5,0,0,1,0,0,6,469,22.13%
2016,Hnin,Wai,0,0,0,0,0,0,0,568,5.66%
