2019,Juan,Pablo,Pirir,Montenegro,0,0,0,0,0,0,0,573,7.74%
2019,Fátima,Lucia,Reyes,Paniagua,0,0,0,0,0,0,0,573,7.74%
2019,Edgar,Alessandro,Santos,Sagastume,1,1,0,0,2,0,4,489,21.29%
2018,Elder,Raúl,Alejandro,Guzmán,Romero,0,1,0,0,1,0,2,511,14.00%
2018,Alejandro,Pallais,0,0,0,0,0,0,0,565,4.89%
2018,Edgar,Alessandro,Santos,Sagastume,1,0,0,7,1,0,9,391,34.23%,Honourable,mention
2017,Elder,Raúl,Alejandro,Guzmán,Romero,7,0,0,1,0,0,8,497,19.22%,Honourable,mention
2017,Fernando,José,Pérez,Colaj,0,0,0,2,2,0,4,555,9.77%
2017,Edgar,Alessandro,Santos,Sagastume,5,0,0,2,0,0,7,528,14.17%
2017,Karina,Alejandra,Valladares,Díaz,0,0,0,1,0,0,1,582,5.37%
2012,Kevin,Eduardo,Rivera,Argüello,0,0,0,0,0,0,0,529,3.30%
2012,Alejandra,Valdez,7,0,0,4,0,0,11,316,42.31%,Honourable,mention
2011,María,Andrea,Maldonado,Hernández,1,0,0,0,0,0,1,530,5.87%
2011,Fernando,José,Mazariegos,Camas,3,0,0,1,0,0,4,466,17.26%
2011,Ana,Sofía,Rosenberg,Padilla,0,0,0,0,0,0,0,544,3.38%
2011,Alejandra,Valdez,0,0,0,3,0,0,3,491,12.81%
2010,José,Alberto,Ligorría,Taracena,5,0,0,0,0,0,5,461,11.71%
2010,Francisco,José,Martínez,Figueroa,7,0,0,0,0,0,7,418,19.96%,Honourable,mention
2009,José,Carlos,Arandi,Ayala,0,0,0,0,1,0,1,511,9.57%
2009,Marcos,Fernando,Galindo,Gomez,0,3,0,0,0,0,3,459,18.79%
2009,Francisco,José,Martínez,Figueroa,1,0,0,0,0,0,1,511,9.57%
2009,Alejandro,José,Vargas,De,León,7,0,0,2,0,0,9,354,37.41%,Honourable,mention
2008,Esteban,José,Arreaga,Ambéliz,7,1,0,7,0,0,15,238,55.62%,Bronze,medal
2008,Hector,Eduardo,Hernández,Ruiz,0,0,0,0,0,0,0,521,2.62%
2008,Mario,Roberto,Mata,Arenales,1,0,0,0,0,0,1,508,5.06%
2008,Victor,Manuel,Moscoso,Villagrán,0,0,0,0,0,0,0,521,2.62%
2005,Javier,Alfredo,Ronquillo,Rivera,0,1,0,1,0,0,2,396,22.85%
2005,Ricardo,Neftalí,Pontaza,Rodas,0,1,0,1,0,0,2,396,22.85%
2005,Helder,Ottoniel,Gramajo,López,0,1,0,1,0,0,2,396,22.85%
2002,Ricardo,Moll,0,0,0,0,0,0,0,459,4.18%
2002,Pedro,Fernando,Morales,Almazán,0,1,0,1,1,0,3,393,17.99%
2002,Michaelle,Perez,0,0,0,0,1,0,1,431,10.04%
2001,Antonio,Juarez,Lopez,0,0,1,7,0,0,8,277,41.53%,Honourable,mention
2001,Pedro,Fernando,Morales,Almazán,0,0,0,1,2,0,3,364,23.09%
2001,Bidkar,Alexander,Pojoy,Corzo,0,0,0,1,0,0,1,429,9.32%
2000,Gilda,Margarita,Alonzo,Argueta,0,0,0,0,0,0,0,451,2.17%
2000,Javier,Brolo,0,1,0,4,0,0,5,350,24.13%
2000,Antonio,Juarez,Lopez,0,1,0,1,1,0,3,394,14.57%
2000,Sergio,Silverio,Merida,Molina,0,0,0,0,0,0,0,451,2.17%
2000,Pedro,Fernando,Morales,Almazán,0,0,0,0,0,0,0,451,2.17%
2000,Bidkar,Alexander,Pojoy,Corzo,1,1,0,0,1,0,3,394,14.57%
1999,Gilda,Margarita,Alonzo,Argueta,3,0,0,0,0,0,3,422,6.24%
1999,Emely,Tze,Hao,Hung,Tsai,0,1,0,1,0,0,2,435,3.34%
1999,Antonio,Juarez,Lopez,0,0,3,1,0,0,4,394,12.47%
1999,Sergio,Silverio,Merida,Molina,0,0,0,1,0,0,1,444,1.34%
1999,Rudolf,Wilhelm,Peters,Chaves,0,0,3,1,0,0,4,394,12.47%
1999,Bidkar,Alexander,Pojoy,Corzo,4,0,0,0,0,1,5,371,17.59%
1997,Silvia,Cabrera,0,0,0,1,0,0,1,419,8.93%
1997,Paola,De,León,0,0,0,1,0,0,1,419,8.93%
1997,Carlos,Molina,0,0,0,1,0,0,1,419,8.93%
1997,Rudolf,Wilhelm,Peters,Chaves,0,0,0,0,0,0,0,446,3.05%
1997,Alejandro,Toriello,0,0,0,1,2,0,3,391,15.03%
1997,Tanya,Urrutia,0,0,0,0,1,0,1,419,8.93%
